symbol,year,quarter,category,company_name,sector,success,error,time_seconds,prediction,confidence,direction_score,actual_return_30d_pct,correct,trade_long,trade_long_tier,summary,input_tokens,output_tokens,cost_usd,risk_code,long_block_reason,eps_surprise,earnings_day_return,pre_earnings_5d_return,computed_positives,computed_vetoes,le_DirectionScore,le_LongEligible,le_HardPositivesCount,le_HardVetoCount,le_GuidanceRaised,le_DemandAcceleration,le_MarginExpansion,le_FCFImprovement,le_VisibilityImproving,le_GuidanceCut,le_DemandSoftness,le_MarginWeakness,le_CashBurn,le_VisibilityWorsening,le_PricedInRisk,reaction_date
CVS,2017,4,LOSER,CVS Health,Healthcare,True,,81.23895287513733,DOWN,0.3,3.0,-18.1439,True,False,,"**PART 1 - Analysis:**
Management tone: Moderately cautious — market behavior (large pre-earnings sell-off and a further ~5% drop on the print) implies cautious forward commentary or at-best in-line guidance despite a tiny EPS beat. Upside drivers are limited (small EPS beat, large revenue base), while downside drivers dominate: heavy pre-earnings selling (-10.46%), a meaningful negative intraday reaction (-5.11%) and no evidence of raised guidance or accelerating demand.

**PART 2 - Summary:**
",3233,1561,0.00393,high,HIGH_RISK,0.0158730158730158,-5.111,-10.46,0,2,3.0,NO,0.0,2.0,NO,NO,UNKNOWN,UNKNOWN,NO,NO,YES,UNKNOWN,UNKNOWN,YES,High,2017-11-06
NOW,2017,4,GAINER,ServiceNow,Technology,True,,81.59678792953491,UP,0.6,6.0,14.1802,True,False,,"**PART 1 - Analysis:**
Management tone: Balanced — there is no strong language of optimism or caution in the materials and the market reaction was modestly positive rather than exuberant. Revenue of $3.407B and EPS $2.42 produced a small positive market move (+2.65% on the day) after a modest pre-run (+2.36%), suggesting results were roughly in-line-to-slightly-better than expectations but without an obvious upward revision to forward outlook. Main upside drivers: the modest earnings-day beat/po",3212,1107,0.003017,low,D6_EPS_MISSING,,2.6466,2.36,0,0,6.0,NO,0.0,0.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Low,2017-10-25
TMUS,2018,2,GAINER,T-Mobile US,Communication Services,True,,77.56062912940979,DOWN,0.4,4.0,14.9764,False,False,,"**PART 1 - Analysis:**
Management's medium-term tone is Moderately optimistic — they highlighted strong customer adds, improving network coverage and record Adjusted EBITDA, but repeatedly flagged lower lease revenues, weaker operating cash flow/FCF, and some one-time accounting and insurance benefits. Main upside drivers: 1) very strong net customer additions (1.6M total, 686k branded postpaid phone) with low churn and >2:1 porting versus AT&T/Verizon supporting revenue momentum; 2) service rev",5221,1660,0.004625,low,HAS_VETOES,0.0574712643678161,4.7507,0.9,1,1,4.0,NO,1.0,1.0,NO,YES,NO,NO,NO,NO,NO,NO,YES,NO,Low,2018-05-01
ZBRA,2018,2,GAINER,Zebra Technologies,Technology,True,,68.96180415153503,UP,0.7,7.0,21.4914,True,False,,"**PART 1 - Analysis:**
Management tone is Moderately optimistic — they raised their sales outlook, guided Q3 net sales growth to ~12–15% and pushed up full-year sales expectations while highlighting margin expansion, stronger cash flow and debt paydown. Main upside drivers: clear revenue acceleration (Q2 sales +13% / 11% cc), 200bp EBITDA margin expansion, raised guidance and materially improved cash flow/debt reduction. Main downside/driving-caution: the stock had a very large pre-earnings run-",5147,1691,0.004669,high,HIGH_RISK,0.1022222222222222,17.2142,20.8,5,0,7.0,NO,5.0,0.0,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,High,2018-05-08
EMR,2018,4,LOSER,Emerson Electric,Industrials,True,,97.48072719573976,DOWN,0.4,4.0,-19.3676,True,False,,"**PART 1 - Analysis:**
Management tone: Balanced — there is no strong optimistic language or clear cautionary repositioning in the provided materials, so the medium-term tone appears neutral. Upside drivers: solid reported revenue (≈$4.86B) and positive EPS (1.13) with a small pre-earnings run that shows investor interest. Downside drivers: modest negative intraday market reaction (-0.94%), no evidence of raised guidance or margin/cash-flow improvements, and absent explicit demand acceleration o",3213,999,0.002801,medium,DIR_TOO_LOW,,-0.9358,2.93,0,0,4.0,NO,0.0,0.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Medium,2018-11-06
COR,2017,2,LOSER,Cencora,Healthcare,True,,91.6513569355011,UP,0.7,7.0,-12.4297,False,False,,"**PART 1 - Analysis:**
Management tone: Moderately optimistic — they raised/tightened revenue and adjusted-EBITDA guidance, reduced CapEx, and repeatedly referenced strong leasing and backlog ramp expectations. Main upside drivers: meaningful organic growth (QTR revenue +23% YoY, adjusted EBITDA +27% YoY, FFO/sh +24%), stronger occupancy and solid new leases/ARPU gains, and guidance that implies continued strength. Main downside drivers: a modest intra-quarter softness in retail collocation (-18",5311,1584,0.004496,medium,D7_DAY_RET_LOW,0.043795620437956,-1.5179,0.9,5,0,7.0,NO,5.0,0.0,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,Medium,2017-05-04
APTV,2018,3,LOSER,Aptiv,Consumer Cyclical,True,,82.7399411201477,DOWN,0.4,4.0,-11.0826,True,False,,"**PART 1 - Analysis:**
Management tone: Moderately cautious — management applauded strong bookings and segment growth but explicitly tempered expectations given weaker vehicle production and FX/commodity pressures. Upside drivers: clear revenue beat (+11%), strong bookings (Q new awards $4.4B; YTD $15.6B) and high-growth segments (active safety +68%, ASUX margins expansion pre-mobility). Downside drivers: no upward guidance (guidance moderated vs prior tone), operating margin compressed 40 bps (",5023,1787,0.00483,medium,HAS_VETOES,0.0333333333333333,3.5459,5.38,2,1,4.0,NO,2.0,1.0,NO,YES,NO,NO,YES,NO,NO,YES,NO,NO,Medium,2018-07-31
LEN,2017,4,LOSER,Lennar,Consumer Cyclical,True,,106.60608625411987,DOWN,0.4,4.0,-11.4444,True,False,,"**PART 1 - Analysis:**
Management tone (medium-term, next 1–2 quarters): Moderately optimistic — management highlighted strong demand, synergy opportunity from the merger and confident operational plans, even while acknowledging cost pressures. Upside drivers: revenue +14%, new order dollar value +18%, ASP +8%, deliveries +5%, reduced completed unsold inventory (-13%), and a large improvement in operating cash flow. Downside drivers: an EPS miss (1.29 vs. 1.48), slight gross-margin compression (",5199,1428,0.004156,high,HIGH_RISK,-0.1283783783783783,2.3849,1.53,3,1,4.0,NO,3.0,1.0,NO,YES,NO,YES,YES,NO,NO,YES,NO,NO,High,2017-10-03
MGM,2018,4,LOSER,MGM Resorts,Consumer Cyclical,True,,64.34664177894592,DOWN,0.4,4.0,-12.2135,True,False,,"**PART 1 - Analysis:**
Management tone: Moderately optimistic — they highlighted broad revenue and EBITDA strength, margin expansion, quantified Phase‑1/Phase‑2 EBITDA targets and announced a dividend increase. Near‑term upside drivers: clearly stronger-than-normal top‑line (consolidated +18% YoY), adjusted EBITDA +21%, multiple property-level records, RevPAR +8% in Las Vegas, and explicit cost‑savings/EBITDA targets. Downside drivers: the market sold off sharply on the print (earnings‑day -6.36",5108,1652,0.004581,high,HIGH_RISK,0.0769230769230769,-6.3633,-1.28,3,1,4.0,NO,3.0,1.0,NO,YES,YES,NO,YES,NO,NO,NO,YES,NO,High,2018-10-30
PSKY,2018,3,LOSER,Paramount Skydance Corp,Communication Services,True,,99.95358395576476,DOWN,0.3,3.0,-21.0121,True,False,,"**PART 1 - Analysis:**
Management tone: Balanced — the call showed no overt bullish pivot or strong conservatism (small beat on EPS but no evidence of raised guidance or confident acceleration). Main upside over the next 30 days is limited to a marginal EPS beat (actual ~+0.02 vs est) and the possibility of modest analyst revisions if fundamentals prove steady. Main downside drivers are a meaningful pre-earnings run-up (+6.97) creating sell-the-news risk, the intraday market reaction (-3.97%) si",3233,1258,0.003324,high,HIGH_RISK,0.0163934426229508,-3.9665,6.97,0,0,3.0,NO,0.0,0.0,NO,NO,NO,UNKNOWN,NO,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,High,2018-08-02
PCAR,2018,4,GAINER,Paccar,Industrials,True,,72.92383003234863,UP,0.6,6.0,12.136,True,False,,"**PART 1 - Analysis:**
Management tone: Balanced. The company delivered a modest EPS beat (actual ~1.10 vs est 1.02) and the stock jumped ~5.8% on the print, which are near-term positive drivers. However there is no evidence of an explicit guidance raise, no disclosed margin/FCF improvements or demand acceleration, and visibility on forward quarters is unknown — so the beat may not sustain without upgraded guidance.

**PART 2 - Summary:**
Given the small positive EPS surprise and strong intraday",3233,1296,0.0034,low,D6_POSITIVES_LOW,0.0784313725490196,5.7744,4.5,0,0,6.0,NO,0.0,0.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Low,2018-10-23
MU,2018,4,LOSER,Micron Technology,Technology,True,,74.64592504501343,DOWN,0.4,4.0,-12.462,True,False,,"**PART 1 - Analysis:**
Management tone: Moderately cautious — they celebrated a record quarter (revenue, gross margin, operating income, cash flow) but issued tempered near-term guidance (Q1 range implying a leveling of growth) and highlighted higher tax rate and caution on visibility. Upside drivers: record gross margins (61%, DRAM 71%), record cash from operations and FCF, strong CNBU and mobile revenue, and meaningful debt reduction/net cash. Downside drivers: the stock ran up into earnings (",5293,1293,0.003909,medium,HAS_VETOES,0.0568862275449101,-2.8658,5.59,2,2,4.0,NO,2.0,2.0,NO,NO,YES,YES,NO,NO,YES,NO,NO,YES,Medium,2018-12-18
EXPE,2017,4,LOSER,Expedia Group,Consumer Cyclical,True,,81.76409220695496,DOWN,0.3,3.0,-13.1594,True,False,,"**PART 1 - Analysis:**
Management tone: Moderately cautious — they call out near-term margin pressures (Q1 adjusted EBITDA headwinds from HomeAway and trivago), back‑loaded growth, and highlight uncertainty even while citing strong bookings and stayed‑night trends. Upside drivers: accelerated booked room nights, strong HomeAway and Egencia gross bookings/transactional revenue, and advertising scale. Downside drivers: EPS miss, a large same‑day selloff (~-15%), decelerating revenue growth vs. boo",5264,1413,0.004142,high,HIGH_RISK,-0.2758620689655172,-15.4678,-4.71,1,5,3.0,NO,1.0,5.0,NO,YES,NO,NO,NO,YES,YES,YES,YES,YES,High,2017-10-26
MSI,2018,4,GAINER,Motorola Solutions,Technology,True,,80.03578782081604,UP,0.7,7.0,16.8774,True,True,D7_CORE,"**PART 1 - Analysis:**
Management tone: Moderately optimistic — the market reacted strongly positive on the print (earnings-day +14.12%) despite only a small EPS beat, implying upbeat forward commentary or constructive guidance/visibility for the next 1–2 quarters. Upside drivers: the surprising strong intraday rally signals either raised/affirmed guidance or materially improved visibility/backlog that investors found credible. Downside drivers: the EPS beat was small (only +0.04), there is no d",3233,1363,0.003534,low,,0.0395256916996047,14.1207,1.46,0,0,7.0,NO,0.0,0.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,UNKNOWN,UNKNOWN,NO,Low,2018-11-01
PCG,2018,1,LOSER,PG&E Corporation,Utilities,True,,103.81669688224792,DOWN,0.3,3.0,-12.361,True,False,,"**PART 1 - Analysis:**
Management tone: Moderately cautious — the team repeatedly emphasized wildfire/legal costs, stepped-up vegetation and safety spending, and explicitly withdrew 2018 EPS guidance, signaling elevated uncertainty for the next 1–2 quarters. Main down drivers: an EPS miss, sizable wildfire- and pipeline-related pre-tax charges ($21M + $10M + $5M), withdrawal of EPS guidance, and ongoing higher vegetation/CapEx that pressure near-term earnings and visibility. Main up drivers: pre",5384,1129,0.003604,high,HIGH_RISK,-0.125,-3.2701,-4.15,0,3,3.0,NO,0.0,3.0,NO,NO,NO,UNKNOWN,NO,YES,NO,YES,UNKNOWN,YES,High,2018-02-09
FTNT,2018,3,LOSER,Fortinet,Technology,True,,82.3542971611023,DOWN,0.4,4.0,-16.3082,True,False,,"**PART 1 - Analysis:**
Management tone: Moderately optimistic — they highlighted ""strong demand"", accelerating billings and deferred revenue, but were cautious on accounting changes and framed guidance in a range. Main upside drivers: accelerating billings (+22%), strong revenue (+21%), deferred revenue +27% and improving free cash flow and margins which support durable near-term revenue visibility. Main downside drivers: the market reacted violently (-13.3% on the day), guidance was not a clear",5276,1491,0.004301,high,HIGH_RISK,0.1249999999999999,-13.3214,3.21,4,0,4.0,NO,4.0,0.0,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,High,2018-08-01
GNRC,2017,2,GAINER,Generac,Industrials,True,,74.01910185813904,DOWN,0.5,5.0,17.1235,False,False,,"**PART 1 - Analysis:**
Management tone is Moderately cautious — they emphasize stabilization and modest organic growth (guidance ~6–8%) and repeatedly note sensitivity to outage severity and macro uncertainty. Upside drivers: clear quarter-over-quarter rebound in revenue (Q2 vs Q1), broad-based sales gains across residential and C&I, slight gross-/EBITDA‑margin expansion, higher adjusted EBITDA and positive free cash flow, and active repurchases boosting EPS. Downside drivers: guidance is cautio",5565,1435,0.004261,low,DIR_TOO_LOW,0.0781249999999998,1.3569,3.26,3,0,5.0,NO,3.0,0.0,NO,YES,YES,YES,UNKNOWN,NO,NO,NO,NO,UNKNOWN,Low,2017-04-27
ORLY,2018,2,GAINER,O'Reilly Auto Parts,Consumer Cyclical,True,,75.20174264907837,UP,0.6,6.0,16.4563,True,False,,"**PART 1 - Analysis:**
Management tone: Balanced. The company delivered a modest EPS beat (actual vs. est) and the stock jumped ~+2.2% on the print, which are short-term positives; however there is no evidence management raised guidance or signaled materially stronger forward visibility, so the beat looks modest and potentially already reflected in the move. Upside drivers: modest positive earnings surprise, positive intraday market reaction, no guidance cut. Downside drivers: absence of an upwa",3233,1216,0.00324,low,D6_POSITIVES_LOW,0.0541871921182267,2.2211,1.5,0,0,6.0,NO,0.0,0.0,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Medium,2018-04-25
DXCM,2017,3,GAINER,Dexcom,Healthcare,True,,87.27225804328918,DOWN,0.4,4.0,27.0945,False,False,,"**PART 1 - Analysis:**
Management tone: Moderately cautious — they highlight record revenue and strong cash but explicitly narrowed FY guidance to the low end and emphasize operational priorities (clearing backlog, conservative near‑term framing). Main upside drivers: record revenue (+24% YoY, +8% sequential), improving gross margin (69%) and strong cash/cash‑flow (>$526M, $27M non‑GAAP cash income) plus a large Medicare pipeline and regulatory progress (G6 PMA submitted). Main downside drivers:",5325,1498,0.004327,high,HIGH_RISK,-0.7482517482517482,6.328,0.45,4,1,4.0,NO,4.0,1.0,NO,YES,YES,YES,YES,YES,NO,NO,NO,NO,High,2017-08-01
HPE,2018,2,LOSER,Hewlett Packard Enterprise,Technology,True,,93.8028039932251,UP,0.6,6.0,-13.9575,False,False,,"**PART 1 - Analysis:**
Management tone: Moderately optimistic — management raised full‑year non‑GAAP EPS guidance and repeatedly pointed to ""strong demand"" in storage, all‑flash and Intelligent Edge while highlighting margin progress and active capital returns. Upside drivers: raised FY guidance, 10% YoY revenue growth (6% constant currency), clear margin expansion (gross +90bps, operating +270bps), and ~$1B returned to shareholders (large buybacks). Downside/drivers of caution: continuing negat",5211,1954,0.005211,high,HIGH_RISK,0.0967741935483871,-10.5112,0.06,5,1,6.0,NO,5.0,1.0,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,High,2018-05-22
VRSN,2018,3,GAINER,Verisign,Technology,True,,69.79216599464417,UP,0.7,7.0,14.414,True,False,,"**PART 1 - Analysis:**
Management tone: Moderately optimistic — they reported accelerating revenue growth, expanding margins, strong cash generation and executed a large buyback, while giving more granular FY guidance but reducing quarterly visibility on net additions. Main upside drivers: modest EPS beat, revenue acceleration versus prior quarter, margin expansion and $175M buyback supported by $1.2B liquidity. Main downside drivers: guidance was not meaningfully raised and management shifted a",5262,1534,0.004384,low,HAS_VETOES,0.0336134453781512,2.0833,-4.47,3,1,7.0,NO,3.0,1.0,NO,YES,YES,YES,NO,NO,NO,NO,NO,YES,Medium,2018-07-26
SYK,2018,4,GAINER,Stryker Corporation,Healthcare,True,,75.37543988227844,UP,0.7,7.0,20.041,True,True,D7_CORE,"**PART 1 - Analysis:**
Management tone reads as Moderately optimistic — the market-sized reaction (+11.37% on the day) combined with a small EPS beat implies upbeat forward commentary or other confidence signals from the call. Upside drivers: large positive price reaction (investors likely repriced forward expectations), reported solid revenue scale (~$6.06B) and at least in-line/very small beat on EPS; Downside drivers: EPS beat was tiny (+$0.01), no detailed guidance data provided here (so ris",3233,1672,0.004152,low,,0.0139534883720931,11.3739,-2.9,0,0,7.0,NO,0.0,0.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,NO,NO,NO,Low,2018-10-25
MCD,2017,4,LOSER,McDonald's,Consumer Cyclical,True,,91.35611200332642,DOWN,0.4,4.0,-10.9861,True,False,,"**PART 1 - Analysis:**
Management's medium-term tone is ""Moderately optimistic"" — they emphasize sustained demand (10th consecutive quarter of comp growth), investment in the U.S. Experience of the Future, and digital/delivery scale, while acknowledging transition effects and tax-related noise. Main upside drivers: strong comps (+5.5% Q) and adjusted EPS beat (adjusted EPS +19% to $1.71), improving consolidated company-operated margins (+40bps), healthy cash flow (~$1.27B FCF) and expanding digi",5223,1740,0.004786,medium,HAS_VETOES,0.0754716981132074,-2.9758,-2.45,3,1,4.0,NO,3.0,1.0,NO,YES,YES,YES,UNKNOWN,NO,NO,YES,NO,NO,Medium,2017-10-24
CRL,2018,3,LOSER,Charles River Laboratories,Healthcare,True,,102.90505504608154,UP,0.6,6.0,-11.579,False,False,,"**PART 1 - Analysis:**
Management tone: Moderately optimistic — management raised organic and reported revenue guidance, called out accelerating organic growth (10.7%) and spoke positively about the outlook while removing VC volatility from future guidance. Upside drivers: an EPS beat, raised organic growth guidance (8–8.5%) and reported revenue guidance (21–22%), strong organic revenue acceleration, materially improved free cash flow and reduced leverage. Downside drivers: a large pre-earnings ",5381,1491,0.004327,medium,HAS_VETOES,0.1086956521739131,8.8621,11.83,4,1,6.0,NO,4.0,1.0,YES,YES,NO,YES,YES,NO,NO,YES,NO,NO,Medium,2018-08-08
SO,2018,2,LOSER,Southern Company,Utilities,True,,71.06140303611755,DOWN,0.3,3.0,-11.7971,True,False,,"**PART 1 - Analysis:**
Management's medium-term tone is Moderately cautious — the call repeatedly flagged cost overruns, an insufficient contingency, a planned equity raise, and a more conservative adjusted EPS range for 2018 despite reaffirming long-term growth. Upside drivers: adjusted EPS beat (adjusted $0.80 vs $0.69 est), $3.7B of transaction proceeds improving near-term liquidity, and maintained in-service schedule targets for Units 3/4; downside drivers: $1.1B (pre-tax) charge and $1.1B i",5309,1458,0.004243,high,HIGH_RISK,0.1594202898550726,-4.4825,-2.5,0,4,3.0,NO,0.0,4.0,NO,NO,NO,NO,NO,YES,NO,YES,YES,YES,High,2018-05-02
DXCM,2018,1,GAINER,Dexcom,Healthcare,True,,100.49494814872742,UP,0.7,7.0,34.1765,True,False,,"**PART 1 - Analysis:**
Management tone: Moderately optimistic — inferred from a strong after‑hours market reaction (+12.76%) and no provided cautionary language or guidance cuts. Main upside drivers: the large post‑earnings jump implies a meaningful beat or favorable commentary, and a modest pre‑run (+0.81%) reduces immediate sell‑the‑news risk. Main downside drivers: no explicit guidance lift is documented, and there is no visibility on margins, cash flow, or whether the beat includes one‑time ",3212,1294,0.003391,low,D7_EPS_MISSING,,12.7557,0.81,0,0,7.0,NO,0.0,0.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Low,2018-02-27
IBM,2018,3,LOSER,IBM,Technology,True,,67.77795195579529,DOWN,0.3,3.0,-16.2903,True,False,,"**PART 1 - Analysis:**
Management tone: Moderately cautious — messaging mixes confidence in cash generation and strategic-as-a-service growth with explicit headwinds (FX, slower nominal revenue, higher taxes/capex) and a tempered near-term outlook. Upside drivers: strong FCF (T12 $12.2B, Q3 $2.2B), margin expansion (pretax +50bps; services +160bps) and healthy as-a-service exit run-rate up 24%. Downside drivers: revenue declining q/q and flat at constant currency (revenue softness/deceleration),",5074,1623,0.004514,high,HIGH_RISK,0.0058823529411764,-7.6257,-1.44,2,2,3.0,NO,2.0,2.0,NO,NO,YES,YES,UNKNOWN,NO,YES,NO,NO,YES,High,2018-07-18
MCK,2017,4,GAINER,McKesson Corporation,Healthcare,True,,89.38128995895386,DOWN,0.5,5.0,16.3391,False,False,,"**PART 1 - Analysis:**
Management tone is Moderately cautious — they highlight record operating cash flow and shareholder returns but repeatedly call out margin pressure, segment profit declines, currency headwinds and other headwinds (deferred revenue, UK reimbursement cuts). Main upside drivers: modest EPS beat, strong operating cash flow ($4.7B) and large buybacks/return of capital. Main downside drivers: gross profit and segment operating-profit compression (Distribution Solutions op profit ",5321,1588,0.004506,low,HAS_VETOES,0.1151315789473684,8.1801,-2.92,1,2,5.0,NO,1.0,2.0,NO,NO,NO,YES,NO,NO,YES,YES,NO,UNKNOWN,Low,2017-10-26
BKR,2018,3,LOSER,Baker Hughes,Energy,True,,90.696928024292,DOWN,0.4,4.0,-17.1493,True,False,,"**PART 1 - Analysis:**
Management tone appears Balanced — there is no clear indication of exuberant optimism or overt caution in the facts provided. Upside drivers: a small positive market reaction on the earnings day (+2.52%) and the impression of stabilization after a pre-earnings pullback; Downside drivers: a slight EPS miss (0.19 vs. 0.20), a notable pre-earnings 5-day decline (-5.61%) suggesting investor concern, and no evidence of raised guidance or other clear forward catalysts.

**PART 2",3233,1259,0.003326,high,HIGH_RISK,-0.05,2.5197,-5.61,0,1,4.0,NO,0.0,1.0,NO,NO,UNKNOWN,UNKNOWN,NO,NO,YES,UNKNOWN,UNKNOWN,UNKNOWN,High,2018-07-20
DHI,2018,1,LOSER,D. R. Horton,Consumer Cyclical,True,,126.20593094825745,UP,0.6,6.0,-10.4678,False,False,,"**PART 1 - Analysis:**
Management tone from the call reads as ""Balanced"" — the company delivered a modest, clear EPS beat but provided no evident step-up in forward conviction or material upward guidance. Main upside drivers: the +$0.20 EPS surprise and a solid revenue print (~$9.68B) provide near-term relief and a buy-on-weakness backdrop after the pre-earnings pullback. Main downside drivers: absence of an explicit guidance raise (no visible catalyst to re-rate), only a +1.07% intra-day move (",3233,1419,0.003646,low,D6_POSITIVES_LOW,0.203125,1.0715,-5.4,0,0,6.0,NO,0.0,0.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Low,2018-01-31
OKE,2018,1,GAINER,ONEOK,Energy,True,,94.09349298477171,DOWN,0.4,4.0,14.6305,False,False,,"**PART 1 - Analysis:**
Management tone: Balanced. Results show a small EPS beat (0.64 vs 0.61) and the stock popped modestly on the print, but there is no evidence of an explicit guidance raise and the shares had a ~5% run into the release—a setup vulnerable to ""sell the news."" Upside drivers: the slight EPS upside and positive intraday reaction indicating some investor relief. Downside drivers: modest beat only, likely in-line forward commentary (no visible guide-up), pre-earnings run-up, and n",3233,1332,0.003472,low,ENERGY_EPS_LOW,0.0491803278688525,3.4386,4.98,0,0,4.0,NO,0.0,0.0,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Low,2018-02-26
EQT,2018,2,LOSER,EQT Corporation,Energy,True,,79.4406521320343,DOWN,0.4,4.0,-16.004,True,False,,"**PART 1 - Analysis:**
Management tone: Moderately optimistic — executives stress a clear operational recovery (volumes +83% YoY, cost per Mcfe down 20%), active capital-allocation steps ($500M buyback, SpinCo plan) and improving cash flow, but repeatedly acknowledge commodity/ regional price headwinds, an asset impairment this quarter and only in-line/unchanged forward messaging on volumes/cash flow. Main upside drivers: stronger-than-feared quarter (EPS beat), big YoY production ramp and lower",5259,1653,0.004621,medium,ENERGY_DAY_RET_LOW,0.1891891891891892,-1.9549,-2.41,3,0,4.0,NO,3.0,0.0,NO,YES,YES,YES,UNKNOWN,NO,NO,NO,NO,NO,Medium,2018-04-26
FSLR,2017,3,GAINER,First Solar,Energy,True,,111.0047242641449,UP,0.6,7.0,46.1811,True,True,D7_CORE,"**PART 1 - Analysis:**
Management tone: Moderately optimistic — the company delivered a clear EPS beat and the market reacted strongly, suggesting management commentary was constructive rather than cautious. Main upside drivers: a large EPS surprise (+1.32) and a +20.35% earnings-day re-rate that creates momentum and forces upward analyst/positioning moves. Main downside drivers: no explicit evidence of a guidance raise in the materials provided (guidance status unknown), and a 20% one‑day jump ",3233,1647,0.004102,low,,1.3214285714285714,20.3464,0.59,0,0,7.0,NO,0.0,0.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,UNKNOWN,UNKNOWN,NO,Low,2017-07-27
BX,2017,1,GAINER,Blackstone Inc.,Financial Services,True,,78.50707626342773,UP,0.7,7.0,12.0758,True,False,,"**PART 1 - Analysis:**
Management tone: Moderately optimistic — commentary highlighted a ""robust pipeline"", expectations for low double-digit FRE growth, BAAM contribution and record realizations, while still noting macro/regulatory risks. Main upside drivers: clear EPS beat, record realizations ($16.6–17bn) driving higher distributable earnings ($1.02/unit) and a declared distribution ($0.87), plus AUM and fee-earning AUM growth and strong inflows. Main downside drivers: a portion of the beat i",5053,1641,0.004545,low,D7_DAY_RET_LOW,0.2058823529411763,0.5323,3.28,2,0,7.0,NO,2.0,0.0,NO,YES,UNKNOWN,UNKNOWN,YES,NO,NO,NO,NO,NO,Low,2017-01-26
POOL,2017,2,LOSER,Pool Corporation,Industrials,True,,81.71403193473816,DOWN,0.3,3.0,-15.4238,True,False,,"**PART 1 - Analysis:**
Management’s medium-term tone is ""Moderately optimistic"": they call for moderating cost trends, a plan to reach 15%+ contribution margin for the year, and highlight continued segment-level growth (7% base business Q2, 12% building materials/commercial). Upside drivers: broad-based revenue growth (7% base, multiple double-digit segments), 12% EPS growth and ROIC +160 bps. Downside drivers: the market punished the print hard (-9.4% intraday) despite an essentially in-line EP",5290,1831,0.004984,high,HIGH_RISK,-0.0133928571428572,-9.4341,-9.13,1,2,3.0,NO,1.0,2.0,NO,YES,NO,NO,NO,NO,NO,YES,YES,NO,High,2017-04-20
HLT,2018,4,GAINER,Hilton Worldwide,Consumer Cyclical,True,,84.3423900604248,DOWN,0.4,4.0,11.9618,False,False,,"**PART 1 - Analysis:**
Management tone: Moderately cautious — the company beat near-term results (adjusted EBITDA and EPS) but repeatedly tempered forward expectations (RevPAR guide trimmed to a modest 1–3% range, calls out regional weakness and macro uncertainty). Main upside drivers: clear beat on adjusted EBITDA and EPS, better-than-expected franchise/management fee growth, sizeable unit growth pipeline and a meaningful buyback/dividend plan that support near-term EPS. Main downside drivers: ",5288,1431,0.004184,medium,HAS_VETOES,0.1449275362318842,6.7949,5.03,2,3,4.0,NO,2.0,3.0,NO,NO,YES,YES,NO,YES,YES,NO,NO,YES,Medium,2018-10-24
GE,2018,3,LOSER,GE Aerospace,Industrials,True,,76.70261287689209,DOWN,0.3,3.0,-35.4802,True,False,,"**PART 1 - Analysis:**
Management tone: Moderately cautious — the company missed EPS (actual below estimate) and the market sold off sharply, and there are no clear signals of stronger demand or upgraded guidance in the materials provided. Main upside drivers: potential oversold/mean-reversion relief or short-covering after a heavy pre-earnings decline. Main downside drivers: EPS miss, large pre-earnings selloff (-19.8%), large intraday drop (-8.8%), and implied demand/visibility weakness that w",3233,1592,0.003992,high,HIGH_RISK,-0.3333333333333332,-8.7811,-19.78,0,2,3.0,NO,0.0,2.0,NO,NO,NO,UNKNOWN,NO,NO,YES,UNKNOWN,UNKNOWN,YES,High,2018-07-20
